id_case,POST_vote,POST_president,PRE_present_religion,PRE_age,PRE_education,PRE_race,PRE_sex,PRE_occupation
200015,-1,-1,11,46,4,3,1,1
200022,1,3,12,37,3,4,2,1
200039,1,1,11,40,2,1,2,7
200046,1,1,2,41,3,4,1,1
200053,1,2,12,72,5,5,1,5
200060,1,1,10,71,3,1,2,5
200084,1,2,1,37,3,1,2,1
200091,-1,-1,12,45,2,1,2,1
200107,-1,-1,12,70,2,1,2,5
200114,1,1,12,43,3,3,1,1
200121,1,1,1,37,2,3,2,1
200138,1,1,11,55,2,1,1,1
200152,1,2,3,30,2,1,2,7
200169,-1,-1,8,38,5,4,1,2
200176,-1,-1,12,41,3,2,2,1
200183,-1,-1,2,66,3,3,1,1
200190,1,1,2,54,4,1,1,1
200206,-1,-1,2,55,4,1,1,1
200220,1,1,2,62,4,1,2,5
200244,1,1,2,80,2,1,2,5
200268,-1,-1,2,31,5,3,1,1
200275,1,1,2,80,1,3,2,5
200282,1,1,10,24,4,1,1,1
200305,2,-1,1,55,5,1,1,1
200312,-1,-1,2,59,1,3,2,6
200329,1,1,1,73,4,1,1,5
200343,1,2,1,72,1,1,2,5
200374,1,2,2,50,4,1,1,1
200381,1,1,2,66,5,1,1,1
200404,1,1,12,41,2,3,1,1
200411,-1,-1,12,52,2,4,2,4
200435,-1,-1,11,45,3,5,1,1
200442,1,1,1,46,5,1,2,1
200459,1,2,1,66,4,1,1,1
200466,1,1,2,60,5,1,2,1
200473,1,2,1,73,4,1,2,7
200480,1,1,11,71,3,2,2,5
200497,1,1,9,28,5,1,2,1
200503,1,1,9,73,5,1,2,5
200510,1,2,1,-9,4,1,1,5
200527,1,2,1,37,4,1,2,1
200534,1,1,11,56,3,2,2,1
200541,1,2,1,48,5,1,1,1
200558,1,2,1,53,4,1,2,1
200565,1,2,12,72,3,1,2,5
200589,1,2,12,55,2,1,1,1
200596,1,1,2,79,3,1,1,5
200602,1,1,10,38,4,1,1,1
200626,1,2,1,42,4,4,2,1
200633,1,1,2,70,5,1,1,5
200640,-1,-1,11,50,3,5,2,2
200671,1,1,11,50,5,2,2,1
200688,-6,-6,11,27,1,1,2,1
200695,-1,-1,11,62,2,1,1,6
200701,1,3,2,51,3,-9,2,7
200718,-6,-6,11,60,3,1,1,2
200725,1,1,2,65,5,1,2,5
200732,1,1,5,-9,5,1,1,1
200749,1,1,12,48,2,1,1,1
200756,1,2,11,55,2,1,1,1
200763,1,1,2,54,4,1,1,1
200770,-1,-1,12,38,5,1,2,1
200787,1,1,2,80,5,1,1,5
200794,1,1,12,37,5,6,2,1
200800,1,1,2,38,4,1,1,1
200817,1,1,11,60,3,1,1,5
200824,1,1,11,46,3,6,1,1
200831,1,2,9,78,5,1,2,5
200855,1,1,11,39,5,1,2,1
200862,1,1,11,33,5,2,2,1
200879,1,1,11,74,5,1,2,5
200886,1,1,2,61,3,1,2,5
200893,-1,-1,1,67,3,1,2,5
200909,1,1,1,60,2,1,2,7
200916,1,2,2,-9,3,1,1,1
200947,-1,-1,11,21,3,2,1,1
200954,-1,-1,2,49,1,2,2,1
200985,1,1,12,80,5,1,1,5
201001,1,2,5,70,3,1,1,2
201025,1,1,11,70,2,1,2,1
201032,1,2,1,72,4,1,1,5
201063,1,2,1,78,3,1,2,5
201070,1,1,11,43,4,1,2,1
201087,-1,-1,12,45,3,2,2,7
201094,1,1,1,44,4,1,2,1
201100,1,1,11,50,3,3,2,2
201117,-1,-1,12,-9,5,1,2,1
201124,1,1,2,33,4,1,2,1
201131,-1,-1,2,55,2,1,2,1
201155,1,2,11,28,4,1,2,1
201179,-1,-1,1,34,5,1,2,1
201186,1,2,12,24,4,1,2,1
201193,1,2,1,26,3,1,2,1
201209,1,1,12,75,2,1,1,1
201216,1,2,9,61,4,5,1,5
201223,1,2,1,80,5,1,2,5
201230,1,1,10,58,3,1,1,1
201247,1,1,2,50,4,3,2,1
201254,1,1,1,76,4,1,2,5
201261,1,1,1,80,3,1,2,5
201278,-1,-1,5,48,2,6,2,1
201285,-1,-1,2,61,2,1,2,1
201292,1,1,12,45,5,1,2,1
201322,1,2,4,37,3,1,2,7
201339,1,2,11,36,4,1,1,1
201346,1,1,2,80,1,1,2,5
201353,1,2,1,66,2,1,2,1
201360,1,2,2,80,2,1,2,5
201377,1,2,1,66,3,5,1,5
201384,1,1,1,60,3,1,2,1
201391,-1,-1,2,34,-2,1,1,1
201407,1,2,12,80,5,4,1,5
201421,2,-1,2,71,2,1,1,5
201438,1,2,1,72,3,1,1,5
201445,-1,-1,2,57,4,1,1,1
201469,1,2,2,36,5,3,2,1
201476,1,1,12,61,3,2,2,1
201506,1,2,2,58,5,5,1,1
201513,1,1,12,30,3,2,1,1
201520,-1,-1,1,80,5,1,1,5
201537,1,2,-9,-9,5,-9,1,1
201544,-1,-1,2,72,3,3,1,5
201551,-6,-6,11,38,1,3,1,1
201568,-1,-1,2,60,3,1,1,6
201575,-1,-1,11,52,2,2,2,6
201599,-1,-1,12,40,2,1,2,1
201605,1,1,2,23,4,1,2,1
201629,1,2,1,54,2,1,1,1
201636,1,1,11,70,5,1,2,5
201650,-1,-1,9,23,3,3,2,1
201674,1,1,12,66,5,2,1,1
201681,1,2,2,60,3,1,1,1
201711,1,2,2,50,4,1,2,1
201728,1,2,2,62,4,1,1,1
201759,1,1,9,37,5,1,2,1
201766,1,1,12,73,2,1,2,1
201773,1,1,1,52,4,1,1,1
201780,1,2,1,76,5,1,2,5
201797,1,1,11,73,3,1,1,5
201803,1,5,12,42,4,1,2,1
201810,1,2,2,67,2,1,1,1
201827,1,1,12,64,3,1,1,1
201834,1,2,2,55,3,1,2,1
201841,1,1,12,29,5,2,2,1
201858,1,1,11,34,3,2,2,1
201865,-1,-1,12,45,5,1,2,1
201872,1,1,3,40,5,5,1,1
201889,-6,-6,1,28,3,1,1,1
201896,1,1,2,49,3,3,1,1
201902,1,1,11,37,5,1,1,1
201919,1,2,1,80,3,1,2,5
201926,-6,-6,2,55,2,4,2,1
201971,1,2,1,80,1,1,2,5
201988,-6,-6,11,63,4,6,2,5
201995,1,2,1,66,3,1,2,5
202004,-1,-1,12,55,4,1,1,4
202011,1,2,1,65,3,1,1,1
202042,1,1,12,69,5,1,2,5
202097,1,2,1,70,2,1,2,6
202103,-1,-1,2,64,2,1,1,5
202127,1,2,1,62,2,1,1,1
202141,1,2,5,50,5,1,1,1
202172,-1,-1,6,46,2,2,2,6
202189,1,1,1,67,-2,6,2,5
202196,-6,-6,12,43,3,1,2,1
202202,1,1,11,30,4,1,1,1
202257,1,2,1,80,2,1,1,5
202271,-1,-1,11,58,2,1,2,6
202288,1,3,12,29,3,1,1,1
202301,1,1,2,71,3,1,1,5
202318,1,2,1,69,5,1,1,5
202325,-1,-1,5,80,5,1,1,5
202332,1,1,2,28,5,1,1,1
202356,-1,-1,11,22,4,3,2,2
202363,1,1,10,72,5,1,2,5
202370,1,1,11,63,4,1,1,1
202387,-6,-6,1,64,4,1,2,1
202400,-1,-1,1,61,3,1,2,6
202417,1,2,11,60,2,3,1,1
202431,1,2,1,48,2,1,1,1
202455,1,2,1,69,5,1,2,1
202462,1,2,5,80,5,1,2,5
202479,1,2,1,77,3,1,2,5
202486,1,1,2,48,4,2,2,1
202493,1,1,12,47,3,2,2,2
202509,-6,-6,11,43,2,1,1,1
202516,1,1,2,71,2,3,2,1
202523,-1,-1,12,31,2,3,1,1
202530,1,1,1,78,5,1,2,5
202547,1,1,1,76,5,2,2,5
202578,1,2,2,46,3,1,2,1
202585,-1,-1,12,31,2,1,2,1
202592,1,1,11,29,3,2,2,1
202608,1,1,2,69,3,3,2,1
202615,-1,-1,12,34,2,1,2,1
202622,1,2,12,23,3,1,1,1
202639,1,1,5,61,5,1,1,1
202646,1,1,12,57,5,1,1,1
202653,-1,-1,1,33,5,1,2,1
202660,1,2,1,-9,4,1,2,1
202677,-1,-1,2,71,5,1,1,1
202691,1,2,1,50,4,1,1,1
202707,-1,-1,1,71,2,1,2,7
202714,-1,-1,1,70,-2,1,2,5
202721,-1,-1,12,22,2,3,1,1
202738,-1,-1,2,24,3,3,1,1
202745,-1,-1,6,40,3,2,2,2
202752,1,1,9,49,4,1,1,1
202769,-1,-1,1,56,5,1,2,1
202783,1,-9,1,59,2,3,1,1
202790,1,2,11,63,3,1,1,5
202806,1,1,12,73,5,1,1,5
202813,1,1,1,56,4,1,2,1
202820,1,2,11,41,4,1,1,1
202837,1,2,12,48,3,1,2,1
202875,1,2,1,80,1,1,2,5
202882,-7,-7,12,36,3,2,2,1
202899,1,2,1,64,4,6,2,1
202905,1,2,2,28,3,1,1,1
202929,-1,-1,12,21,3,1,1,8
202936,1,2,10,61,3,1,1,1
202943,1,1,2,65,3,1,1,5
202950,1,2,11,35,3,1,2,1
202967,1,1,9,31,4,1,1,1
202974,-1,-1,11,24,3,6,2,1
202998,-1,-1,11,37,2,1,2,1
203007,1,2,12,53,2,1,1,2
203014,1,1,11,34,4,1,2,2
203021,1,1,9,60,5,4,1,1
203038,1,1,1,66,3,1,1,1
203045,1,2,2,70,2,1,1,5
203069,1,1,12,51,5,1,2,1
203090,1,1,11,44,2,1,2,1
203106,1,1,1,60,5,2,2,1
203113,-1,-1,3,34,3,5,1,1
203137,1,2,1,53,3,1,1,1
203144,1,1,12,37,4,1,2,1
203151,-1,-1,2,56,3,1,2,1
203168,-1,-1,12,46,3,1,2,1
203175,-6,-6,2,38,3,4,2,1
203182,1,1,11,63,1,6,2,6
203199,1,1,12,29,4,1,1,1
203205,-6,-6,2,41,2,3,1,1
203212,1,4,-9,54,4,1,1,1
203229,1,2,11,79,4,1,2,5
203236,-1,-1,12,31,3,1,2,7
203243,1,2,10,50,3,1,1,1
203267,1,1,12,64,4,1,2,1
203281,-1,-1,11,80,-2,1,2,5
203298,1,1,12,60,5,1,1,1
203304,-6,-6,1,28,5,3,2,1
203311,1,1,12,46,2,3,2,7
203328,1,1,1,66,5,1,2,5
203335,-6,-6,7,63,1,2,1,1
203342,1,5,2,38,3,1,2,1
203359,1,2,1,59,3,1,2,1
203366,1,3,10,64,5,1,1,5
203380,1,2,1,72,5,1,1,5
203397,1,1,11,68,4,1,1,5
203403,-1,-1,3,28,2,1,2,6
203410,1,1,10,27,3,1,1,1
203427,1,1,9,62,4,1,2,1
203434,1,2,1,70,5,1,1,5
203441,1,1,10,29,3,1,2,1
203458,1,1,12,62,1,2,1,1
203472,1,5,2,60,4,1,2,1
203489,1,2,2,69,5,1,2,5
203496,1,1,9,58,5,1,-9,1
203502,1,2,1,47,3,1,2,1
203519,1,2,2,53,4,1,2,1
203526,1,1,12,72,4,1,1,2
203533,1,1,11,35,3,1,2,1
203540,1,2,11,62,4,1,2,1
203557,2,-1,1,73,3,1,2,5
203564,-1,-1,11,28,3,1,1,1
203588,1,2,1,57,4,1,2,1
203595,-1,-1,1,29,5,1,1,1
203632,1,2,10,39,3,1,1,2
203649,1,1,11,55,5,6,2,6
203670,1,4,3,42,2,1,2,1
203687,1,2,1,67,3,1,2,5
203700,1,2,2,58,4,1,1,1
203724,1,2,1,67,4,1,1,1
203731,1,2,1,58,5,1,2,5
203762,1,1,1,25,4,1,1,1
203779,1,1,11,73,5,2,2,5
203786,1,1,12,30,5,2,2,1
203793,1,2,11,38,3,1,1,1
203816,-6,-6,1,64,3,1,2,5
203823,1,1,10,40,4,1,2,1
203830,1,2,1,-9,4,1,2,1
203854,1,2,1,51,5,1,1,1
203878,1,1,11,61,3,1,1,1
203946,1,1,1,59,3,2,1,1
203953,1,1,1,58,4,3,2,1
203960,-1,-1,2,53,2,5,1,1
203977,1,1,1,75,3,1,2,5
203984,1,1,12,37,4,1,2,1
204000,1,2,1,77,4,1,1,5
204017,-1,-1,11,-9,1,1,2,1
204031,1,2,2,68,3,1,2,5
204048,1,2,2,66,4,1,1,5
204055,-1,-1,11,43,3,2,2,1
204062,1,2,-9,72,3,1,1,5
204086,1,2,2,50,5,1,2,7
204109,1,1,5,58,5,1,2,7
204116,-1,-1,1,28,5,1,1,1
204123,1,1,2,59,3,1,2,1
204130,1,2,2,72,2,1,2,5
204147,1,1,1,29,4,1,2,8
204154,1,1,5,60,4,3,1,1
204161,1,1,1,66,3,1,1,1
204178,1,1,1,56,4,1,1,1
204185,1,2,4,40,5,6,1,1
204192,1,2,5,45,4,1,2,1
204208,1,2,1,51,4,1,2,7
204222,1,1,12,68,4,1,2,5
204246,2,-1,2,22,4,1,1,1
204253,1,2,1,40,4,1,2,7
204260,1,1,1,63,3,1,2,1
204277,1,1,11,59,5,1,2,4
204284,1,1,12,53,2,3,2,1
204291,1,1,12,80,2,1,1,5
204307,1,2,2,67,3,1,2,1
204321,-6,-6,2,35,4,1,1,1
204338,1,1,10,69,3,1,1,5
204345,1,1,1,80,4,1,2,5
204352,-1,-1,1,62,3,1,1,1
204369,-1,-1,11,38,2,1,2,1
204376,1,2,11,71,3,1,2,5
204383,1,2,1,80,3,1,1,5
204390,1,1,5,61,4,1,2,7
204413,1,2,1,65,4,1,1,1
204420,-1,-1,12,30,3,1,1,1
204437,1,3,11,38,5,6,2,7
204468,-6,-6,2,80,1,1,2,5
204475,1,1,9,80,4,1,1,5
204482,-1,-1,2,-9,3,1,2,5
