V200001,V202205 - POST: Most important problems facing the country - mention 1 [text],V202207 - POST: Most important problems facing the country - mention 2 [text],V202209 - POST: Most important problems facing the country - mention 3 [text],V202211 - POST: Most important problems facing the country - most important [text]
200015,racim both for blacks and whites false information,-1,-9,-9
200022,coming together as a country,-9,-1,-1
200039,severe political polarization that does not allow for compromise or growth,affordable health care for all,systemic racism,severe political polarization and division that leaves no room for discussion or compromise
200046,pandemic (covid-19),"unemployment, lot of people lossing their job.",health insurance,pandemic
200053,"globalism, Fake covid, law and order, BLM, public education, socialism, businesses being destroyed by globalist governors","globalism, fake covid, socialism, public education, eugenics",Soros and gates ruling the country,globalism
200060,pandemic. we need to control it.  Biden has ideas.  Trump had garbage.,racial issues.  it has been far too long for equality,economy.  Biden wants everyone to improve.  trump cared about no one but himself,covid 19
200084,racism.. poverty,-9,-1,-1
200091,jobs homeless covid19,-9,-1,-1
200107,lack of leadership,-9,-1,-1
200114,covid-19 viruslack of vaccine and not being able to control,economy and loss if jobs and revenue due to virus,how our government seems to be a joke,all of the and
200121,El racismo.....,deportacion a perdonas trabajadoras y no a criminales,no se deberia nunca aprobar el aborto,no se
200138,"economy, virus, division",no,-9,virus
200152,everything,-9,-1,-1
200169,"racism, discrimination, wealth gap/income inequality, political polarization, covid-19, access to affordable and quality healthcare and education, FDA and pooor OTC supplement regulation, internet addication, high drug abuse, etc.",-9,-1,-1
200176,Tatic in policing guncontrol,health care abortion,-9,Tatics on policing
200183,Pandemic and jobs,social unity,-9,jobs
200190,"Covid response, unemployment,",The divide and mistrust trump is causing by not accepting the election results.,-9,Covid
200206,Income inequality,"climate change - I believe this is a reality that needs to be faced, and actually could open up new opportunities and growth in alternate energy markets",-9,Income inequality
200220,"covid-19 pandemic,the economy,racial issues/divided country.",Medicare/Social Security,overly conservative Supreme Court,Covid-19 pandemic
200244,The pandemic.  Too many people are not following the guidelines and therefore the virus is out of control.  It is overloading our healthcare facilities and the education of our children as well as leaving many Americans out of work.,Affordable and quality healthcare for all Americans.,-9,The pandemic.
200268,Coronavirus response and reviving the damaged economy from unecessary shutdowns,-9,-1,-1
200275,"Health care access for all, immigration,  equality and rights amongst people of color",same as previous answer,same as previous answer,social justice
200282,Income Inequality. Climate Change. Unaccountable representatives.,"Graft, Corruption, Nepotism, Elitism",-9,Income Inequality. Wealth Distribution
200305,Lack of Manufacturing Facilities in the US,Lack of US manufacturing jobs,"no, n/a",Unsure at the moment
200312,"Desigualdad de paga en trabajos entre clases sociales y sexos, racismo, cobertura medica que puede ser mejorada, y immigracion.",No puedo pensar en algun otro problema importante que afecta este pais.,No puedo pensar en algun otro problema importante que afecta este pais.,Desigualdad de paga en trabajos
200329,Covid19 and pathetic leadership from white house,Power grab by republican party at the expense of common people,-9,Covid 19
200343,"polution, climate control, sex trafficing, constituional rights for us all.",constitutional rights,pollution of our air and water supply,pollution of air and water supply
200374,Pandemic help,Division of people,-9,Pandemic
200381,Covid; Very poor coordination of effort in fighting the disease. President seemed at odds with everyone who did not espouse his idea of the minute.,Systemic Racism throughout the country. Real noticeable when I lived the South. Less visible in the North but still there.,The decline of the middle class and the associated shift of wealth to the high income brackets.,Covid
200404,insurance medical issues and having peace with one another,not at this time,-9,-9
200411,,none,-9,races
200435,our government using violence and propaganda to enforce their will upon the people,the economic shut down over Covid,-9,"given there is no chance we will transition into any semblance of anarchy (the actual definition, not the punk rock douchebag definition), not allowing the ""free"" market to engage in commerce is going to send us into a depression."
200442,Social unrest...we are a divided nation no thanks to the dumpster Trump,"depletion of natural resources, water scarcity",income inequalitytop 1% of income bracket have too much political influence,inequality
200459,the pr0gressive agenda headed towards socialism,illegal immigration,voter fraud and corruption,socialism
200466,COVID controlling it,Racial intolerance,ugly partisanship,controlling covid
200473,lack of respect or tolerance of others opinions,interferance from outside sources to manipulate discord among the citizens of our country,-9,riots of destruction in large cities and lack of respect for others of different color or religion. plus health fears due to coronovirus
200480,combating the spreading of this covid-19,raceist trying to get the people to realize we were all made equal in God's eye sight.,police force need trying how to deal with their anger in situation that seem beyond their control.,liberty  to speak without violence and justice for all.
200497,Two-party system,Systemic racism (racism across institutions),Shifting global power dynamics (China),two-party system
200503,4 years of trumpdismantling of the climate accordsthe widening gap between rich and poorthe failing social net,atudent debtgun controlhealth care,unequal pay for womenchildcare,four years of trump
200510,"covid -19,",-9,-1,-1
200527,"political unrest, media bias, COVID-19, true equality and reform",-9,-1,-1
200534,-9,-1,-1,-1
200541,economy,-9,-1,-1
200558,"Jobs, Immigration, Health Care Reform","US Debt, keeping jobs in the US, immigration, supporting police department, crime",Fracking and oil industry,Employment
