index,00278,0068d,00f13,01cb6,02670,06419,07089,08238,0a0eb,0ac65,0af61,0b262,0b71e,0b883,0e30c,0fd67,10cc3,11a01,131d3,137f6,1404b,14834,153d4,15c99,17104,172e0,17f9b,18214,190b7,1a0d4,1a21a,1cf47,1dc24,1e1f3,1ff0f,21dd5,229d0,24214,24841,24f1f,25801,25cce,26afc,27522,288d4,2a86f,2af8a,2b811,2fb73,317b1,319cd,33787,33b03,34ed3,36024,365a9,374dd,39ab4,3a726,3ac86,3d321,3d77c,3dc2d,3e5da,40c25,41d13,43eef,444a6,445d8,4526a,46206,49fbe,4a2a8,4a2f6,4a7ae,4aa4b,4ab1b,4b69a,4b8e1,4d77f,4e2b9,4f430,501eb,50cd8,5134f,517f2,5242b,52c8b,53f0b,55126,55220,55280,5652a,57684,578b8,57f16,58297,58914,59cd3,5a7b5,5ce8b,5cec4,5e5d3,5e61c,600f4,61462,61b49,6296b,65262,68960,68cb9,6a1d7,6b10c,6b271,6b659,6bdaf,6bf27,6c949,6d581,6d5c6,6d6e0,6ee1d,6f328,6fb7f,70af7,70ecf,72074,729c8,72b8a,73433,73573,752b5,7847d,792c0,7a00c,7a4fe,7bbd1,7e45c,7eccc,7f142,7f347,80734,80c7b,8181b,81de6,81df5,8252a,82630,82772,8293c,849e8,84c88,85889,85e5b,87884,87e4e,883da,88428,88936,8919b,891e0,8969c,8b897,8bb53,8f52f,90058,906b3,9088e,90b9c,9108e,91ba1,93dd5,93fc4,9427e,94de5,95fa5,96624,96ce4,9704a,9abf2,9ad57,9d29d,9d46f,9da7b,9eeaf,9f6f0,a020a,a05fb,a08a4,a1d74,a2278,a24ca,a347b,a5762,a7aa9,a8ba2,a9d8d,ab38d,abb81,ad5fb,b031f,b0a40,b34ba,b4066,b454b,b5cd9,b62fe,b7682,b9afd,ba744,bc046,bc5d7,bcb4b,bcc54,bdbfc,be034,beefd,bf1b6,bf6a6,c026f,c02d3,c10be,c265c,c2954,c29ff,c2f81,c464c,c6a5f,c7592,c7c37,c8cb6,c8ccc,c8e6d,ca10a,ca64a,ca6a8,cb0ef,cbf46,cc8be,cea00,cf8c0,d2302,d2686,d3fb8,d3fc7,d3ffa,d431e,d43c3,d49a4,d508b,d7760,d9152,d9160,dad32,de4ff,deefb,defb1,df547,df77b,df79c,dfbd5,e0223,e16c0,e2525,e3212,e32d7,e8480,e971c,e98a2,ea192,ebe1e,edb37,ee792,eef2b,ef44c,ef73a,f3821,f3b81,f4060,f4420,f4bc7,f4fb5,f6145,f8e64,f9101,f92a4,f9fd8,fb2a2,fb9c4,ff2bf
00278,5,3,3,3,2,4,4,4,4,2,4,3,2,0,3,4,3,4,2,2,2,3,2,3,2,0,3,2,2,2,3,4,4,3,1,4,0,4,1,4,3,2,2,3,3,3,3,3,3,3,2,1,3,4,2,1,3,1,2,2,4,3,2,4,0,3,4,4,2,4,2,3,3,2,1,3,3,0,1,3,2,3,3,3,2,2,2,4,4,2,4,2,2,4,3,2,1,0,3,0,3,3,4,3,2,1,3,5,2,3,2,3,1,4,2,2,2,2,3,2,3,3,0,3,4,2,3,2,3,2,1,4,3,3,3,1,3,0,3,3,3,0,3,4,3,2,3,5,2,3,5,2,2,3,4,1,1,3,3,1,2,2,3,2,4,2,2,0,3,0,5,2,2,2,1,2,5,2,4,3,0,2,0,3,2,1,3,1,2,3,3,2,3,2,3,0,2,3,2,3,3,2,1,2,2,2,3,3,3,1,1,1,0,5,2,2,4,2,2,3,3,3,0,4,2,3,2,3,3,3,0,2,3,2,3,4,2,1,2,2,3,2,4,2,3,2,3,2,4,2,3,3,2,2,2,2,0,1,0,2,2,2,2,3,3,5,2,2,0,4,0,2,1,3,2,1,4,2,3,3,4,3,2,2,3,3,3,3,2,0
0068d,3,5,3,3,3,4,4,3,3,4,3,2,3,0,2,4,3,3,4,2,3,2,3,5,2,0,2,3,3,3,3,3,3,2,2,4,0,3,1,3,2,4,3,3,2,2,2,2,2,2,3,2,3,3,4,1,3,1,4,2,2,3,2,4,0,3,3,3,3,3,2,3,3,3,3,3,3,0,1,3,3,2,2,2,3,4,3,3,3,4,4,1,1,4,1,4,0,0,3,0,2,2,3,5,3,3,3,3,4,3,2,3,0,4,3,2,3,2,4,2,3,3,0,1,4,3,3,1,2,4,2,2,4,3,2,0,3,0,5,3,3,0,3,4,2,2,4,3,3,3,3,3,1,2,4,3,0,5,2,3,1,1,3,4,3,2,3,0,2,0,3,3,2,2,2,0,3,3,4,4,0,4,0,3,2,2,2,1,1,3,2,3,4,2,3,0,3,3,4,2,3,3,2,2,1,3,2,4,2,2,2,2,1,3,3,3,3,2,3,1,5,2,0,2,3,3,1,3,2,2,0,1,3,3,5,3,4,2,1,4,1,2,4,3,2,3,3,3,4,1,4,3,1,3,1,0,0,2,0,4,3,2,1,2,2,3,1,3,0,4,0,1,0,2,3,2,4,4,2,4,2,3,1,1,2,3,3,4,4,0
00f13,3,3,5,5,3,4,2,3,3,4,3,4,3,0,4,4,2,3,4,2,3,4,3,3,3,0,4,3,3,3,3,3,3,4,2,4,0,2,2,3,4,2,3,3,2,4,4,2,1,2,3,2,3,3,4,2,3,0,4,2,4,5,2,2,0,4,3,2,3,3,2,5,3,3,1,5,3,0,1,3,3,4,4,4,3,2,3,3,3,4,2,3,1,2,2,4,1,0,5,0,4,2,3,3,3,3,1,3,4,3,2,1,0,4,3,1,3,2,2,3,1,3,0,3,4,3,3,3,3,4,2,4,2,2,4,0,2,0,3,3,3,0,5,2,4,4,2,3,3,3,3,1,1,4,4,1,2,3,3,3,3,2,3,2,3,2,3,1,2,0,3,3,3,2,0,2,3,3,4,2,0,4,0,1,2,2,1,2,1,3,3,3,2,2,3,0,3,1,4,2,3,3,3,0,2,1,2,2,2,0,2,2,1,3,1,2,3,3,1,3,3,2,0,4,3,1,1,5,3,4,1,3,3,3,3,3,4,2,3,4,1,2,4,3,4,3,5,2,4,3,3,3,3,3,2,2,0,2,0,4,3,3,3,3,2,3,3,3,0,2,0,2,2,4,3,3,4,4,2,2,4,1,0,1,2,3,2,3,4,0
01cb6,3,3,5,5,3,4,2,3,3,4,3,4,3,0,4,4,2,3,4,2,3,4,3,3,3,0,4,3,3,3,3,3,3,4,2,4,0,2,2,3,4,2,3,3,2,4,4,2,1,2,3,2,3,3,4,2,3,0,4,2,4,5,2,2,0,4,3,2,3,3,2,5,3,3,1,5,3,0,1,3,3,4,4,4,3,2,3,3,3,4,2,3,1,2,2,4,1,0,5,0,4,2,3,3,3,3,1,3,4,3,2,1,0,4,3,1,3,2,2,3,1,3,0,3,4,3,3,3,3,4,2,4,2,2,4,0,2,0,3,3,3,0,5,2,4,4,2,3,3,3,3,1,1,4,4,1,2,3,3,3,3,2,3,2,3,2,3,1,2,0,3,3,3,2,0,2,3,3,4,2,0,4,0,1,2,2,1,2,1,3,3,3,2,2,3,0,3,1,4,2,3,3,3,0,2,1,2,2,2,0,2,2,1,3,1,2,3,3,1,3,3,2,0,4,3,1,1,5,3,4,1,3,3,3,3,3,4,2,3,4,1,2,4,3,4,3,5,2,4,3,3,3,3,3,2,2,0,2,0,4,3,3,3,3,2,3,3,3,0,2,0,2,2,4,3,3,4,4,2,2,4,1,0,1,2,3,2,3,4,0
02670,2,3,3,3,5,2,3,2,3,4,2,3,5,0,4,2,3,3,4,3,4,4,5,3,3,0,3,5,5,5,4,3,3,3,1,2,0,2,0,2,4,2,5,4,1,3,4,1,1,1,4,4,1,2,4,2,4,0,4,3,3,3,3,3,0,2,2,2,5,2,3,3,4,5,1,3,1,0,1,1,4,3,3,4,5,2,5,2,2,4,3,2,1,3,1,4,0,0,3,0,4,1,3,3,5,3,2,2,4,4,3,2,0,2,5,1,4,0,4,3,2,4,0,2,2,4,4,2,3,4,4,3,3,2,4,0,2,0,3,4,4,0,3,3,4,2,3,2,5,1,2,3,0,3,2,1,1,3,3,3,2,1,4,2,2,3,5,1,1,0,2,5,3,3,1,1,2,5,2,4,0,4,0,2,3,4,1,2,0,1,3,5,4,3,4,0,5,2,4,2,1,5,2,1,1,2,1,4,1,2,4,3,2,2,2,1,2,3,2,2,3,1,0,3,5,2,1,3,2,3,1,2,4,5,3,2,4,4,3,4,0,3,2,5,4,5,3,1,2,3,2,4,2,5,1,1,0,4,0,4,5,1,2,3,1,2,2,5,0,3,0,1,2,3,5,2,2,4,2,4,3,2,0,0,1,1,3,2,4,0
06419,4,4,4,4,2,5,3,4,4,3,4,3,2,0,3,5,3,4,3,1,2,3,2,4,2,0,3,2,2,2,2,4,4,3,2,5,0,3,2,4,3,3,2,2,3,3,3,3,2,3,2,1,4,4,3,1,2,1,3,1,3,4,1,3,0,4,4,3,2,4,1,4,2,2,2,4,4,0,1,4,2,3,3,3,2,3,2,4,4,3,3,2,2,3,2,3,1,0,4,0,3,3,4,4,2,2,2,4,3,2,1,2,0,5,2,2,2,3,3,2,2,2,0,2,5,2,2,2,3,3,1,3,3,3,3,0,3,0,4,2,2,0,4,3,3,3,3,4,2,4,4,2,2,3,5,2,1,4,2,2,2,2,2,3,4,1,2,0,3,0,4,2,2,1,1,1,4,2,5,3,0,3,0,2,1,1,2,1,2,4,2,2,3,1,2,0,2,2,3,3,4,2,2,1,2,2,3,3,3,1,1,1,0,4,2,3,4,2,2,2,4,3,0,3,2,2,2,4,3,3,0,2,2,2,4,4,3,1,2,3,2,1,5,2,3,2,4,3,5,2,4,2,2,2,2,1,0,1,0,3,2,3,2,2,3,4,2,2,0,3,0,2,1,3,2,2,5,3,3,3,3,2,1,2,3,4,3,4,3,0
07089,4,4,2,2,3,3,5,3,3,3,3,2,3,0,2,3,3,3,3,3,3,2,3,4,2,0,2,3,3,3,4,3,3,2,1,3,0,4,0,3,2,3,3,4,2,2,2,2,3,2,3,2,2,3,3,1,4,1,3,3,3,2,3,5,0,2,3,4,3,3,3,2,4,3,2,2,2,0,1,2,3,2,2,2,3,3,3,3,3,3,5,1,1,5,2,3,0,0,2,0,2,2,3,4,3,2,4,4,3,4,3,4,1,3,3,2,3,1,4,2,4,4,0,2,3,3,4,1,2,3,2,3,4,3,2,1,3,0,4,4,4,0,2,5,2,1,4,4,3,2,4,3,1,2,3,2,0,4,3,2,1,1,4,3,3,3,3,0,2,0,4,3,2,3,2,1,4,3,3,4,0,3,0,4,3,2,3,1,1,2,3,3,4,3,4,0,3,4,3,2,2,3,1,3,1,3,2,4,2,2,2,2,1,4,3,2,3,2,3,2,4,2,0,3,3,4,1,2,2,2,0,1,4,3,4,3,3,2,1,3,2,3,3,3,2,3,2,2,3,1,3,4,1,3,1,1,0,2,0,3,3,1,1,3,2,4,1,3,0,5,0,1,0,2,3,1,3,3,2,4,3,4,2,1,2,2,3,3,3,0
08238,4,3,3,3,2,4,3,5,4,2,5,4,2,0,3,4,3,4,2,1,3,3,2,3,3,0,4,2,2,2,2,4,4,4,1,4,1,3,1,5,3,2,2,2,4,4,3,4,2,4,3,1,3,5,2,2,2,1,2,1,3,3,1,3,0,3,5,3,2,5,1,3,2,2,1,3,3,1,2,3,3,4,4,3,2,2,2,5,4,2,3,3,2,3,2,2,1,0,3,1,3,4,4,3,2,1,2,4,2,2,1,2,0,4,2,2,3,2,3,3,2,2,0,2,4,3,2,3,3,2,1,3,4,4,3,0,4,0,3,2,2,0,3,3,3,2,4,4,2,3,4,2,3,4,4,1,2,3,2,1,3,3,2,2,5,1,2,1,4,0,4,2,3,1,2,1,4,2,4,3,0,2,0,2,1,1,2,1,3,3,2,2,3,1,2,0,2,2,2,3,3,2,1,1,3,3,4,3,4,1,1,2,1,4,3,2,5,2,2,2,3,4,0,3,2,2,2,3,4,4,0,3,2,2,3,5,2,1,2,2,2,1,4,2,3,2,3,2,4,2,3,2,3,2,3,1,0,1,0,2,2,2,3,2,4,4,2,2,0,3,0,3,1,4,2,1,4,2,3,3,3,2,1,3,4,3,3,3,2,1
0a0eb,4,3,3,3,3,4,3,4,5,2,4,3,3,0,4,4,4,5,2,1,2,4,3,3,2,0,3,3,3,3,2,5,5,3,1,4,0,3,1,4,4,2,3,2,3,3,4,3,2,3,2,2,3,4,2,1,2,1,2,1,3,3,1,3,0,3,4,3,3,4,1,3,2,3,1,3,3,0,1,3,2,3,3,4,3,2,3,4,4,2,3,2,3,3,2,2,1,0,3,0,4,3,5,3,3,1,2,4,2,2,1,2,0,4,3,2,2,2,4,2,2,2,0,2,4,2,2,2,4,2,2,3,3,3,4,0,3,0,3,2,2,0,3,3,4,2,3,4,3,3,4,3,2,3,4,1,1,3,2,1,2,2,2,2,4,1,3,0,3,0,4,3,2,1,1,1,4,3,4,4,0,2,0,2,1,2,2,1,2,3,2,3,4,1,2,0,3,2,2,4,3,3,1,1,2,2,3,4,3,2,2,1,0,4,2,2,4,2,2,2,3,3,0,3,3,2,3,3,3,3,0,2,2,3,3,4,2,2,3,2,2,1,4,3,4,3,3,2,4,3,3,2,2,3,2,1,0,2,0,2,3,2,2,2,3,4,2,3,0,3,0,2,2,3,3,1,4,2,4,4,3,2,1,2,3,3,4,3,2,0
0ac65,2,4,4,4,4,3,3,2,2,5,2,3,4,0,3,3,2,2,5,3,4,3,4,4,3,0,3,4,4,4,4,2,2,3,2,3,0,2,1,2,3,3,4,4,1,3,3,1,1,1,4,3,2,2,5,2,4,0,5,3,3,4,3,3,0,3,2,2,4,2,3,4,4,4,2,4,2,0,1,2,4,3,3,3,4,3,4,2,2,5,3,2,0,3,1,5,0,0,4,0,3,1,2,4,4,4,2,2,5,4,3,2,0,3,4,1,4,1,3,3,2,4,0,2,3,4,4,2,2,5,3,3,3,2,3,0,2,0,4,4,4,0,4,3,3,3,3,2,4,2,2,2,0,3,3,2,1,4,3,4,2,1,4,3,2,3,4,1,1,0,2,4,3,3,1,1,2,4,3,3,0,5,0,2,3,3,1,2,0,2,3,4,3,3,4,0,4,2,5,1,2,4,3,1,1,2,1,3,1,1,3,3,2,2,2,2,2,3,2,2,4,1,0,3,4,2,0,4,2,3,1,2,4,4,4,2,5,3,2,5,0,3,3,4,3,4,4,2,3,2,3,4,2,4,1,1,0,3,0,5,4,2,2,3,1,2,2,4,0,3,0,1,1,3,4,3,3,5,1,3,3,2,0,0,1,2,2,3,5,0
