index,q1,q2,q3,q4,q5
00278,1,0,2,0,0
0068d,1,2,2,0,2
00f13,1,0,0,0,2
01cb6,1,0,0,0,2
02670,1,2,0,0,4
06419,1,0,2,0,2
07089,1,2,2,0,0
08238,1,0,2,0,3
0a0eb,1,0,2,0,4
0ac65,1,2,0,0,2
0af61,1,0,2,0,3
0b262,1,0,0,0,3
0b71e,1,2,0,0,4
0b883,0,1,1,1,1
0e30c,1,0,0,0,4
0fd67,1,0,2,0,2
10cc3,1,1,2,0,4
11a01,1,0,2,0,4
131d3,1,2,0,0,2
137f6,0,2,0,0,0
1404b,1,2,0,0,3
14834,1,0,0,0,4
153d4,1,2,0,0,4
15c99,1,2,2,0,2
17104,1,1,0,0,3
172e0,0,1,1,1,1
17f9b,1,0,0,0,3
18214,1,2,0,0,4
190b7,1,2,0,0,4
1a0d4,1,2,0,0,4
1a21a,1,2,0,0,0
1cf47,1,0,2,0,4
1dc24,1,0,2,0,4
1e1f3,1,0,0,0,3
1ff0f,0,1,1,0,2
21dd5,1,0,2,0,2
229d0,0,1,1,1,3
24214,1,1,2,0,0
24841,0,0,1,1,2
24f1f,1,0,2,0,3
25801,1,0,0,0,4
25cce,1,2,2,1,2
26afc,1,2,0,0,4
27522,1,2,0,0,0
288d4,0,0,2,0,3
2a86f,1,0,0,0,3
2af8a,1,0,0,0,4
2b811,1,0,2,1,3
2fb73,1,1,2,1,0
317b1,1,0,2,1,3
319cd,1,2,0,0,3
33787,1,2,0,1,4
33b03,0,0,2,0,2
34ed3,1,0,2,0,3
36024,1,2,0,0,2
365a9,1,1,0,1,3
374dd,1,2,0,0,0
39ab4,0,1,2,1,1
3a726,1,2,0,0,2
3ac86,1,2,0,1,0
3d321,1,0,0,0,0
3d77c,1,0,0,0,2
3dc2d,1,2,0,1,0
3e5da,1,2,2,0,0
40c25,0,1,1,1,1
41d13,1,0,1,0,2
43eef,1,0,2,0,3
444a6,1,1,2,0,0
445d8,1,2,0,0,4
4526a,1,0,2,0,3
46206,1,2,0,1,0
49fbe,1,0,0,0,2
4a2a8,1,2,0,0,0
4a2f6,1,2,0,0,4
4a7ae,0,2,2,1,2
4aa4b,1,0,0,0,2
