name,path,age,caseid,female,highest grade completed,ideology,independents,mii_1,mii_2,miiele1_code1,miiele1_code2,miiele1_code3,miiele1_code4,miiele1_code5,miiele1_code6,miiele1_code7,miiele1_code8,miiele2_code1,miiele2_code2,miiele2_code3,miiele2_code4,miiele2_code5,miiele2_code6,miiele2_code7,miiele2_code8,mip_1,mip_2,mippol1_code1,mippol1_code2,mippol1_code3,mippol1_code4,mippol1_code5,mippol1_code6,mippol1_code7,mippol1_code8,mippol1_substantive1,mippol1_substantive2,mippol1_substantive3,mippol1_substantive4,mippol1_substantive5,mippol1_substantive6,mippol1_substantive7,mippol1_substantive8,mippol2_code1,mippol2_code2,mippol2_code3,mippol2_code4,mippol2_code5,mippol2_code6,mippol2_code7,mippol2_code8,mippol2_substantive1,mippol2_substantive2,mippol2_substantive3,mippol2_substantive4,mippol2_substantive5,mippol2_substantive6,mippol2_substantive7,mippol2_substantive8,pid,pid_strong,pid_summary,txtorg_id
,,35,1,1,13,1,1,the economy is first,the 2 wars,50,,,,,,,,4,,,,,,,,the economy,immigration,50,,,,,,,,50,,,,,,,,41,,,,,,,,41,,,,,,,,3,-1,4,3de40634-3386-11e3-a3e4-88532e617cea
,,39,3,2,16,2,-1,abortion,gay marriage,61,,,,,,,,68,,,,,,,,  how our government handles our economic crisis,gay marriage,50,,,,,,,,50,,,,,,,,68,,,,,,,,68,,,,,,,,2,5,5,3deba592-3386-11e3-a3e4-88532e617cea
,,50,4,1,12,1,3,economy,more jobs,50,,,,,,,,27,,,,,,,,the spending budget,education,38,,,,,,,,38,,,,,,,,21,,,,,,,,21,,,,,,,,5,-1,3,3dede46a-3386-11e3-a3e4-88532e617cea
,,72,5,1,16,1,-1,character//no,//experience//no,71,96,,,,,,,71,96,,,,,,,  economy  no,terrorism,50,96,,,,,,,50,,,,,,,,5,,,,,,,,5,,,,,,,,2,1,6,3df03382-3386-11e3-a3e4-88532e617cea
,,66,7,2,16,2,1,experience,"a record of what the person has done, or actualy accomplished, that would apply to what they are seeking to be",71,,,,,,,,49,,,,,,,,"to do what your profess your going to do, by that the ir means to be true to who you say you are",its a problem that we actually have political parties,71,,,,,,,,71,,,,,,,,47,,,,,,,,47,,,,,,,,3,-1,4,3df1d52a-3386-11e3-a3e4-88532e617cea
,,56,8,1,14,1,1,morals,morals,64,,,,,,,,64,,,,,,,,morals,morals,64,,,,,,,,64,,,,,,,,64,,,,,,,,64,,,,,,,,5,-1,4,3df293ac-3386-11e3-a3e4-88532e617cea
,,40,9,2,14,2,-1,//there really hasn't been one//illegal immigration,nothing//no,41,95,,,,,,,95,96,,,,,,,  the countries deficit,//security,38,,,,,,,,38,,,,,,,,5,,,,,,,,5,,,,,,,,2,1,6,3df31d7c-3386-11e3-a3e4-88532e617cea
,,55,10,1,16,1,-1,economy,the war in iraq,50,,,,,,,,3,,,,,,,,economy,the war in iraq,50,,,,,,,,50,,,,,,,,3,,,,,,,,3,,,,,,,,1,1,0,3df3916c-3386-11e3-a3e4-88532e617cea
,,84,11,2,15,2,3,the economy,the war,50,,,,,,,,4,,,,,,,,the economy,the war,50,,,,,,,,50,,,,,,,,4,,,,,,,,4,,,,,,,,3,-1,3,3df3f6de-3386-11e3-a3e4-88532e617cea
,,55,12,2,12,2,-1,our economy,the housing industry,50,,,,,,,,28,,,,,,,,money bank crisis,the war in iraq and afghanastan,50,55,,,,,,,55,50,,,,,,,2,3,,,,,,,3,2,,,,,,,2,5,5,3df45bec-3386-11e3-a3e4-88532e617cea
,,30,13,1,12,1,-1,"foreign policies//the war in iraq... if we should be there or come home//i think we need to withdraw slowly, not at one time//i don't think our military should be so spread out across the world//we should cut all foreign aid// we have too many people here",taxes//no,3,7,8,13,26,96,97,,40,96,,,,,,,our economy  too many foreign workers  they ship more of our jobs with nafta overseas instead of keeping americans working  no,ss,10,50,96,,,,,,50,10,,,,,,,29,,,,,,,,29,,,,,,,,2,5,5,3df4c0aa-3386-11e3-a3e4-88532e617cea
,,79,14,2,15,2,-1,i think it would be that people voted for obama and did not know him.  i think he's been very secretive in his behaviour and i'm afraid we're in for some bad moments.  i believe that he's got people that are gonna be working with him that we have not hear,i think that people were contacted and told a lot of lies by the democrats and i think we're in for a big disappointment.  i'm afraid we're gonna have some bad happenings in the united states because i think that people have not been - their backgrounds h,48,64,97,,,,,,41,43,48,49,55,71,97,,obama.,"the man he picked for his vice president.  i don't think he's qualified either.  i wish they'd get this stock business taken care of.  i know it's gonna take a long time, but the united states shouldn't have been so generous to countries that didn't deser",48,,,,,,,,48,,,,,,,,13,48,49,51,97,,,,48,51,49,13,,,,,2,1,6,3df554a2-3386-11e3-a3e4-88532e617cea
,,78,15,2,15,2,3,the main thing... i was against abortion// and i still think that's the most important thing to me//,the economy// if you boost the economy... that's it...// it's up to the people to manage it//no,61,97,,,,,,,50,71,96,,,,,,the economy   i'll agree with obama  ,"unity among the people... there's so much friction now// since we have freedom of religion, i don't want to touch on that... i think everybody should have their own//no",48,50,,,,,,,50,48,,,,,,,64,71,96,97,,,,,71,64,,,,,,,3,-1,3,3df5d2ba-3386-11e3-a3e4-88532e617cea
,,72,16,2,17,2,3,the economy... before even the fall... you could just see people losing their jobs.  it has had a dreadful effect on homelife - because of the stress the economy is causing.  the children suffer a great deal and they're the innocent ones.,"i guess foreign relations, because that would invlude terrorism, the situation with israel, and of course the wars.",27,30,50,71,,,,,2,4,5,13,,,,,"within the economy, it has to be people being able to work... the job situation.  we have to create jobs where people can provide for their families... the job situation for the workers.",i don't know how you describe trust as a political problems.  but people in the two political parties not trusting each other cause people to put their party before the good of the nation.... and that can prevent barack obama from accomplishing what he wa,27,50,,,,,,,50,27,,,,,,,47,48,49,71,,,,,49,47,48,71,,,,,3,-1,3,3df65096-3386-11e3-a3e4-88532e617cea
,,21,17,2,12,2,-1,no,"healthcare//we need cheaper, more affordable healthcare// insurance companies need to stop trying to break us// i can't even get medicade and i don't have a job// i refuse to get on welfare... but i can't pay nothin//",96,,,,,,,,23,24,25,97,,,,,the wars in iraq and afghanistan  we need to try to help them build up their leaders to step up and take care of their country so we can take care of ours   we need to bring our soldiers back   about the [redacted military]... they need to have more job o,global warming// i don't know what we can do for that... but we've got to cope with that//no,2,3,7,27,30,71,97,,3,2,7,27,30,71,,,17,71,96,97,,,,,17,71,,,,,,,1,5,1,3df6e538-3386-11e3-a3e4-88532e617cea
,,27,18,1,15,1,5,the economy//,healthcare//,50,,,,,,,,24,,,,,,,,the economy  ,healthcare//,50,,,,,,,,50,,,,,,,,24,,,,,,,,24,,,,,,,,3,-1,2,3df79ee2-3386-11e3-a3e4-88532e617cea
,,61,19,1,16,1,-1,the economy//i think the problem that we've had with the economy being inflated by falsehoods... that it was more smoke than substance...// that it has been perpetrated by those who knew better... who had things to gain personally from it// it's exactly t,"character// by comparing the two candidates side by side, the association of the democratic candidate with individuals that in my opinion are people who have less than good will for the us, is troublesome// i think that the idea of forced redistribution o",13,50,54,55,71,97,,,48,49,52,71,97,,,,"the global economy   ever since the early 90's the economies of the world have become to interdependent... that if one stumbles, we all stumble.  in the past, we've had good actions by the world bank and g-8, but this one's getting out of hand... but this","accountability of our elected officials// i think our elected officials should be reminded that - like n the federalist papers - if you're serving our nation at the federal level - that's a higher calling, and if they abuse that trust, they should lose th",13,50,55,,,,,,13,55,50,,,,,,43,45,49,71,96,,,,49,43,45,71,,,,,1,1,0,3df872d6-3386-11e3-a3e4-88532e617cea
,,51,20,1,16,1,-1,i would say keeping government small.,i guess the strength of the military.  not just withdrawing from overseas and bringing everybody home without things being in order.,39,,,,,,,,7,,,,,,,,i guess the economy.,"i would say energy... and not forgetting about drilling for oil just because the price has dropped... or coming up with alternative forms of energy... nuclear, for example.",50,97,,,,,,,50,,,,,,,,14,15,16,71,97,,,,16,15,14,71,,,,,2,1,6,3df96d30-3386-11e3-a3e4-88532e617cea
,,32,21,2,16,2,5,fairness// it seems to me that obama is wanting to bridge the gap with everyone... that there's no color barrier// no,healthcare//,32,48,71,96,,,,,24,,,,,,,,employment  ,healthcare//no,27,,,,,,,,27,,,,,,,,24,96,,,,,,,24,,,,,,,,3,-1,2,3dfa0a2e-3386-11e3-a3e4-88532e617cea
,,87,22,2,12,2,5,unemployment,abortion,27,,,,,,,,61,,,,,,,,bring the boys home from iraq,"whether they can get help to rebuild after the major hurricanes/tornados/flooding, helping the homeless and those affected by such",3,,,,,,,,3,,,,,,,,28,71,,,,,,,71,28,,,,,,,3,-1,2,3dfa8ec2-3386-11e3-a3e4-88532e617cea
,,37,23,2,12,2,-1,change,change of presidents,71,,,,,,,,48,,,,,,,,economics,employment,50,,,,,,,,50,,,,,,,,27,,,,,,,,27,,,,,,,,1,1,0,3dfb05f0-3386-11e3-a3e4-88532e617cea
,,28,24,2,10,2,-1,health care and immigration reform and help in getting country together//no,housing problem(people loosing their homes),24,41,71,96,,,,,28,,,,,,,,the economy,no jobs,50,,,,,,,,50,,,,,,,,27,,,,,,,,27,,,,,,,,1,5,1,3dfb8ebc-3386-11e3-a3e4-88532e617cea
,,19,25,2,13,2,-1,race,health care,32,,,,,,,,24,,,,,,,,war,deficit/economy,4,,,,,,,,4,,,,,,,,38,50,,,,,,,38,50,,,,,,,1,5,1,3dfbff6e-3386-11e3-a3e4-88532e617cea
