term_id,term
0,0ffice
1,1
2,10
3,15
4,1st
5,2
6,3
7,4
8,401k
9,8
10,90
11,abort
12,abroad
13,abus
14,accept
15,accomplish
16,account
17,achiev
18,acq
19,act
20,action
21,activ
22,adher
23,adjust
24,administr
25,af
26,affair
27,affect
28,afford
29,afghanistan
30,afraid
31,again
32,against
33,agre
34,agreement
35,aid
36,aint
37,aisl
38,along
39,alreadi
40,altern
41,alwai
42,america
43,american
44,anoth
45,answer
46,anti
47,anybodi
48,anymor
49,anyth
50,anywher
51,apart
52,appoint
53,around
54,ask
55,ass
56,assist
57,attat
58,attitud
59,auto
60,automobil
61,avail
62,awai
63,awar
64,b
65,babi
66,back
67,background
68,bad
69,bail
70,bailout
71,balanc
72,bank
73,bankruptci
74,barack
75,barrel
76,base
77,be
78,becom
79,befor
80,begin
81,behavior
82,believ
83,ben
84,better
85,between
86,bi
87,bicker
88,big
89,bigger
90,biggest
91,bill
92,bipartisan
93,bit
94,bitter
95,black
96,boarder
97,bodi
98,boi
99,boil
100,bond
101,both
102,bother
103,bottom
104,bread
105,break
106,breakdown
107,bring
108,broke
109,broken
110,broker
111,budget
112,bui
113,build
114,bush
115,busi
116,call
117,cambi
118,candidaci
119,cant
120,capit
121,car
122,card
123,care
124,carolina
125,carri
126,cate
127,caught
128,caus
129,certain
130,chanc
131,chang
132,cheat
133,child
134,childless
135,chines
136,choic
137,christian
138,church
139,citizen
140,civil
141,claim
142,class
143,clean
144,close
145,clue
146,co
147,cold
148,collaps
149,color
150,come
151,comment
152,commun
153,compani
154,complex
155,conacats
156,concentr
157,concern
158,condit
159,confid
160,conflict
161,congress
162,conscious
163,consensu
164,conserv
165,constitut
166,consum
167,continu
168,control
169,cooper
170,corpor
171,correct
172,corrupt
173,count
174,counter
175,countri
176,cowboi
177,crash
178,creat
179,credibl
180,credit
181,crime
182,crise
183,crisi
184,crook
185,cross
186,cultur
187,current
188,cut
189,dai
190,dam
191,damag
192,danger
193,dead
194,deal
195,deapo
196,death
197,deatt
198,debat
199,debt
200,decid
201,decis
202,declin
203,deef
204,deep
205,def
206,defens
207,defici
208,deficit
209,defict
210,defind
211,demean
212,demo
213,democraci
214,democrat
215,depend
216,depress
217,destroi
218,destruct
219,di
220,dien
221,differ
222,disagre
223,disconnect
224,discrimin
225,dispar
226,disregard
227,disrupt
228,distant
229,distinct
230,distribut
231,divis
232,do
233,doctor
234,dollar
235,domin
236,don
237,done
238,donotknow
239,down
240,drop
241,drug
242,due
243,each
244,earli
245,earmark
246,east
247,eastern
248,ec
249,econom
250,economi
251,economy.non
252,economy1
253,economyh
254,educ
255,effect
256,el
257,elder
258,elderli
259,elect
260,ellect
261,employ
262,en
263,enabl
264,encuentran
265,end
266,enemi
267,energi
268,enforc
269,enough
270,enphasi
271,enrich
272,environ
273,eocom
274,equal
275,eras
276,establish
277,estamo
278,esto
279,etc
280,ethnic
281,europ
282,even
283,everybodi
284,everydai
285,everyon
286,everyth
287,evict
288,excess
289,expans
290,expens
291,experi
292,export
293,extremist
294,ey
295,f
296,fabric
297,face
298,fact
299,fair
300,fake
301,fall
302,famili
303,far
304,favor
305,fear
306,feder
307,feed
308,feel
309,feet
310,few
311,fi
312,fight
313,figur
314,filibust
315,finaci
316,financ
317,financi
318,financiero
319,find
320,first
321,fiscal
322,fix
323,flexibl
324,folk
325,food
326,forc
327,foreclos
328,foreclosur
329,foreight
330,foreign
331,forgot
332,form
333,fossil
334,fraud
335,free
336,friend
337,front
338,fuel
339,fund
340,futur
341,g
342,ga
343,gabinet
344,gai
345,gang
346,gener
347,georg
348,get
349,give
350,given
351,global
352,go
353,god
354,goe
355,gone
356,good
357,gov't
358,govern
359,grant
360,greed
361,greedi
362,grew
363,gridlock
364,ground
365,group
366,grow
367,guard
368,guess
369,half
370,hand
371,handl
372,happen
373,happi
374,hard
375,have
376,haywir
377,head
378,health
379,healthcar
380,heard
381,heart
382,heath
383,help
384,helpless
385,here
386,hi
387,high
388,hit
389,hole
390,home
391,homeless
392,homosexu
393,honest
394,honesti
395,hope
396,hous
397,human
398,hundr
399,hunger
400,hurt
401,hypocrit
402,i'd
403,i'll
404,idea
405,ideolog
406,ie
407,illeg
408,imag
409,immigr
