term_id,term
0,abolit
1,abor
2,abroad
3,abus
4,access
5,accid
6,accomod
7,accomplish
8,account
9,accross
10,act
11,activ
12,actual
13,adapt
14,adjust
15,advantag
16,affect
17,afford
18,afraid
19,again
20,against
21,agent
22,ago
23,agre
24,aid
25,alcohol
26,alien
27,alilen
28,allegi
29,allour
30,allow
31,along
32,alreadi
33,alter
34,altern
35,although
36,altim
37,alwai
38,amercia
39,america
40,american
41,amnesti
42,amongst
43,amoung
44,amount
45,ancestor
46,anciou
47,andi
48,annoi
49,anoth
50,answer
51,anxiou
52,anymor
53,anyon
54,anyth
55,anywai
56,apart
57,appli
58,arent
59,arizona
60,arm
61,around
62,artifici
63,asian
64,ask
65,assilum
66,assimil
67,assist
68,associ
69,assumpt
70,asylum
71,attack
72,attent
73,attitud
74,auto
75,avail
76,aval
77,averag
78,awai
79,babi
80,back
81,background
82,bad
83,ball
84,bank
85,bankrupt
86,bar
87,barrier
88,base
89,basi
90,basic
91,bc
92,be
93,beauacrat
94,becam
95,becom
96,befor
97,began
98,begin
99,behoov
100,beleiv
101,believ
102,belong
103,bend
104,benefit
105,benifit
106,bennefit
107,benrfit
108,besid
109,better
110,between
111,bibl
112,big
113,bigger
114,bigotri
115,bill
116,birth
117,bit
118,blend
119,blood
120,boarder
121,bomb
122,book
123,border
124,born
125,both
126,bother
127,bout
128,bowl
129,break
130,breaker
131,breed
132,bring
133,brought
134,bui
135,build
136,built
137,bum
138,bungl
139,burden
140,busi
141,button
142,ca
143,california
144,came
145,cant
146,capitalist
147,car
148,card
149,care
150,careless
151,cash
152,cater
153,cathol
154,caus
155,center
156,central
157,certain
158,challeng
159,chanc
160,chang
161,charact
162,cheap
163,cheaper
164,cheapli
165,cheep
166,child
167,children
168,china
169,chines
170,citi
171,citizen
172,citizenship
173,class
174,close
175,cockroach
176,collect
177,colleg
178,com
179,come
180,comfort
181,common
182,commun
183,compani
184,competit
185,complain
186,complet
187,complex
188,complic
189,compromis
190,concept
191,concern
192,condit
193,conflict
194,confus
195,congress
196,consid
197,consider
198,construct
199,consumer
200,contibut
201,continu
202,contractor
203,contri
204,contribut
205,control
206,controversi
207,corpor
208,corporis
209,correct
210,corrupt
211,cost
212,countri
213,counyri
214,cours
215,cover
216,coverag
217,crack
218,creat
219,creativ
220,crime
221,crimin
222,cross
223,crowd
224,crutial
225,cultur
226,current
227,custodi
228,custom
229,cut
230,dai
231,daili
232,damn
233,date
234,dead
235,deal
236,dearth
237,death
238,debat
239,debt
240,debtrement
241,decent
242,decreas
243,deficit
244,definit
245,degre
246,democraci
247,deni
248,denied
249,depend
250,depor
251,deport
252,depress
253,desert
254,deserv
255,desir
256,desper
257,develop
258,devolv
259,devot
260,die
261,differ
262,differenti
263,difficult
264,diminish
265,dirti
266,disagr
267,discount
268,discrimin
269,diseas
270,displac
271,disproportion
272,disrespect
273,distanc
274,distinct
275,divis
276,do
277,dobb
278,doctor
279,document
280,dollar
281,domin
282,done
283,donot
284,dont
285,door
286,doubl
287,down
288,draft
289,drain
290,dramat
291,dread
292,dream
293,dregrad
294,drink
295,drive
296,driven
297,driver
298,drove
299,drug
300,drwa
301,ducat
302,due
303,duff
304,dump
305,each
306,earli
307,earn
308,earner
309,easi
310,easier
311,easili
312,east
313,econani
314,econom
315,economi
316,edg
317,educ
318,effect
319,effort
320,electron
321,elimin
322,elli
323,emploi
324,employ
325,end
326,enemi
327,energi
328,enforc
329,english
330,enough
331,enought
332,ensu
333,enter
334,enthusiast
335,entitl
336,entranc
337,entrant
338,entri
339,equal
340,erect
341,esl
342,especi
343,establish
344,etc
345,ethin
346,ethnic
347,europ
348,european
349,even
350,eventu
351,everybodi
352,everyon
353,everyth
354,except
355,excess
356,expect
357,expens
358,experinc
359,extent
360,extra
361,extrem
362,face
363,fact
364,failur
365,fair
366,fairli
367,fals
368,famili
369,far
370,fat
371,father
372,favor
373,fear
374,fee
375,feed
376,feel
377,fenc
378,fight
379,file
380,fill
381,financi
382,find
383,fine
384,fininc
385,firmli
386,first
387,fix
388,flag
389,flat
390,flood
391,fly
392,focu
393,follow
394,food
395,forc
396,foreign
397,forese
398,forget
399,form
400,former
401,forth
402,fortun
403,fought
404,found
405,frame
406,free
407,freebi
408,freedom
409,freez
410,frustrat
411,fuel
412,full
413,fullest
414,function
415,fund
416,fundament
417,futur
418,gang
419,get
420,giant
421,give
422,given
423,go
424,god
425,gone
426,good
427,gov
428,gover
429,govern
430,govt
431,grad
432,grand
433,grandmoth
434,grandpar
435,grant
436,great
437,greater
438,green
439,grew
440,groceri
441,group
442,growth
443,guidelin
444,hand
445,happen
446,hard
447,harder
448,hate
449,have
450,head
451,health
452,healthcar
453,hear
454,heart
455,heat
456,heavi
457,hell
458,help
459,here
460,heritag
461,high
462,higher
463,hike
464,hire
465,hispan
466,histori
467,hold
468,home
469,honest
470,honor
471,hospit
472,hous
473,huachuca
474,human
475,humanitarian
476,hundr
477,hungri
478,husband
479,hype
480,hypocrisi
481,i.
482,idea
483,ifea
484,ignor
485,ileagl
486,ileg
487,ilk
488,illagl
489,illeag
490,illeg
491,illegali
492,illegel
493,illig
494,im
495,imiger
496,imigr
497,immagr
498,immagrt
499,immedi
500,immigr
501,immigrat
502,immigraten
503,immingr
504,impact
505,improperli
506,incarcer
507,incent
508,includ
509,incom
510,increas
511,increasd
512,incred
513,indian
514,individu
515,inexpens
516,infest
517,inflat
518,influx
519,info
520,inforc
521,inform
522,infrastructur
523,insist
524,inspanish
525,instead
526,institut
527,insur
528,interest
529,inth
530,intoler
531,invit
532,involv
533,ireland
534,irish
535,island
536,isnt
537,issu
538,itself
539,jail
540,jerk
541,jingoism
542,job
543,jobsit
544,joke
545,justic
546,keep
547,kept
548,kick
549,kid
550,kill
551,kind
552,king
553,kneejerk
554,know
555,labor
556,lack
557,land
558,landscap
559,languag
560,langwig
561,larg
562,larger
563,largest
564,last
565,later
566,latino
567,law
568,lawyer
569,lazi
570,le
571,leach
572,lead
573,learn
574,leav
575,legal
576,legim
577,less
578,let
579,level
580,liberti
581,licens
582,lie
583,life
584,lingual
585,littl
586,live
587,loader
588,lobbyist
589,long
590,longer
591,look
592,lose
593,loss
594,lost
595,lot
596,lou
597,low
598,lower
599,lurk
600,made
601,mainli
602,major
603,make
604,makeup
605,manag
606,mani
607,manifest
608,manner
609,margin
610,marri
611,matter
612,mayb
613,mean
614,meanwhil
615,media
616,medic
617,meet
618,melt
619,member
620,men
621,menial
622,mess
623,met
624,mex
625,mexicain
626,mexican
627,mexico
628,mid
629,migrant
630,mile
631,milk
632,million
633,minefield
634,minimum
635,minor
636,mistreat
637,modern
638,monei
639,month
640,more
641,mostli
642,motel
643,move
644,mtn
645,much
646,multi
647,murder
648,muslem
649,nation
650,nativ
651,natur
652,nazi
653,necessari
654,need
655,negoti
656,neoliber
657,never
658,new
659,newer
660,non
661,normal
662,north
663,noth
664,now
665,number
666,obei
667,obtain
668,occur
669,ok
670,on
671,on't
672,onc
673,open
674,opportun
675,option
676,order
677,organ
678,other
679,otherwis
680,our
681,out
682,outsourc
683,over
684,overal
685,overcrowd
686,overli
687,overpopul
688,overwhelm
689,ow
690,owner
691,pai
692,paid
693,paint
694,paper
695,paperwork
696,par
697,parent
698,part
699,parti
700,passport
701,past
702,patrol
703,payer
704,payin
705,payment
706,penni
707,peopl
708,per
709,period
710,permit
711,perpetu
712,persecut
713,person
714,persu
715,phone
716,physic
717,pick
718,pig
719,place
720,pledg
721,point
722,polic
723,polici
724,polit
725,politician
726,poor
727,poorer
728,poorli
729,popul
730,portion
731,posit
732,possibl
733,pot
734,potenti
735,poverti
736,pox
737,practic
738,prejudic
739,prescript
740,price
741,primari
742,primarili
743,print
744,prison
745,probabl
746,problem
747,problemb
748,process
749,procur
750,product
751,profit
752,program
753,proper
754,properti
755,protect
756,provid
757,public
758,punch
759,pur
760,push
761,put
762,qualiti
763,question
764,quit
765,quota
766,race
767,racism
768,railroad
769,rais
770,rate
771,real
772,realli
773,reason
774,receiv
775,recept
776,reciev
777,recipi
778,record
779,reduc
780,refuge
781,refus
782,regard
783,regist
784,regul
785,rel
786,relat
787,religi
788,remain
789,remov
790,rent
791,repair
792,replac
793,reproduc
794,republican
795,requir
796,resent
797,resid
798,resourc
799,resous
800,respect
801,respons
802,rest
803,restrict
804,retir
805,return
806,revenu
807,rich
808,richer
809,ride
810,ridicul
811,right
812,rio
813,rise
814,risk
815,road
816,rob
817,robberi
818,roman
819,rome
820,roonei
821,rule
822,run
823,s.
824,sacrif
825,safe
826,safer
827,safeti
828,sai
829,salari
830,same
831,school
832,screen
833,se
834,sea
835,seal
836,season
837,second
838,secur
839,see
840,seek
841,seem
842,self
843,selv
844,send
845,senior
846,sensibl
847,sent
848,sentiment
849,servic
850,set
851,share
852,sheer
853,shop
854,shortag
855,shoud
856,sick
857,side
858,silli
859,simpli
860,sink
861,sit
862,situat
863,skill
864,slave
865,slaveri
866,slip
867,slob
868,small
869,smuggl
870,sneack
871,sneak
872,social
873,socialist
874,societi
875,solut
876,someon
877,someth
878,sometim
879,somewher
880,soon
881,sooner
882,soul
883,sourc
884,south
885,southern
886,sovereignti
887,sp
888,spanish
889,speak
890,speaker
891,speaknglish
892,special
893,spend
894,spoken
895,spous
896,spread
897,ssa
898,ssi
899,ssn
900,stai
901,stamp
902,stand
903,standard
904,start
905,starv
906,state
907,statu
908,steal
909,still
910,stir
911,stolen
912,stop
913,strain
914,strength
915,stretch
916,strict
917,strife
918,stringent
919,strong
920,structur
921,struggl
922,student
923,stuff
924,stupid
925,style
926,subject
927,subsid
928,substanti
929,subvers
930,such
931,suffer
932,summer
933,support
934,sure
935,sweat
936,sword
937,syst
938,system
939,tabl
940,take
941,taken
942,talk
943,tarriff
944,tax
945,taxpay
946,teacher
947,technic
948,technolog
949,tend
950,terer
951,term
952,terorist
953,terrism
954,terroist
955,terror
956,terrorist
957,texa
958,their
959,themselv
960,themslev
961,thereaft
962,therefor
963,thier
964,thiev
965,thing
966,think
967,third
968,those
969,though
970,thought
971,threat
972,through
973,time
974,tire
975,toaccomid
976,tobe
977,todai
978,told
979,toler
980,torn
981,total
982,tough
983,tourist
984,toward
985,town
986,trade
987,tradit
988,traffic
989,trafic
990,tramat
991,transfer
992,translat
993,treat
994,treatment
995,tremend
996,tri
997,troubl
998,truck
999,trucker
1000,try
1001,tryin
1002,turn
1003,u.
1004,ulim
1005,unabl
1006,unattain
1007,unconstitut
1008,under
1009,undercut
1010,undereduc
1011,underground
1012,underpaid
1013,understand
1014,undocu
1015,undocum
1016,undu
1017,unemploy
1018,unfair
1019,unfortun
1020,unfulfil
1021,unifi
1022,unit
1023,unkempt
1024,unknown
1025,unless
1026,unpaid
1027,unsecur
1028,until
1029,unventil
1030,unwant
1031,up
1032,upkeep
1033,upper
1034,upset
1035,us
1036,usa
1037,valu
1038,veri
1039,vers
1040,vigilant
1041,violat
1042,violenc
1043,violent
1044,virtual
1045,visa
1046,visit
1047,vote
1048,vs
1049,wage
1050,wai
1051,wait
1052,walk
1053,wall
1054,want
1055,war
1056,washington
1057,wast
1058,weak
1059,wealth
1060,wealthi
1061,weigh
1062,welfar
1063,well
1064,western
1065,whether
1066,white
1067,whose
1068,wide
1069,widow
1070,will
1071,wise
1072,within
1073,withno
1074,without
1075,woman
1076,women
1077,wonder
1078,wont
1079,work
1080,worker
1081,workforc
1082,world
1083,worri
1084,worrti
1085,wreckless
1086,wrong
1087,wrongli
1088,xenophobia
1089,year
1090,young
1091,yrar
