name,path,,age,belief.in.god,condition_number,contribution,correct.crt.answers,country.of.residence..232.us.,datelastaction,datestarted,decision.time,education,failed.comprehension,faith_in_int,female,how.much.do.you.trust.people.in.your.life,id,income,intuitive.crt.answers,ipaddress,length.of.priming.paragraph,need_for_cog,normalized.contribution,obeyed.time.constraint...1.if.from.condition.without.time.constraint.,physical.lab,prediction.of.others.mean.contribution,previous.experience.w.econ.games..1.none.,primed.for.intuition,primed.for.reflection,priming.paragraph,risk.taking,social.risk.taking,strategy.description,time.delay,time.pressure,time.reading.instructions,time_pred,txtorg_id,us.resident,what.cont.maximizes.group.payoff,what.cont.maximizes.your.payoff
,,154,22,1,10,40,3,232,4/26/12 3:56,4/26/12 3:40,18,4,1,5.2,0,7,1440,1,0,173.175.186.4,12,8.1,1,0,0,na,1,1,0,"i play on my computer relatively all the time. one game i like to play is team fortress 2. about a year and half ago they included a trade feature, which allowed the trading of items, which can be sold for real life cash. of course this involve",7,3.6,"basically, given the choices of how much to contribute, it makes sense for all of us to contribute the maximum. not contributing does not give me the most.",0,0,71,na,4cf9192e-7591-11e2-89cc-88532e617cea,1,40,40
,,155,24,1,10,30,0,232,4/27/12 23:15,4/27/12 23:06,7,5,1,8.4,0,8,2024,5,3,98.182.51.95,9,9.4,0.75,0,0,na,1,1,0,there are many times where my intuition and first instinct has paid off. i think the best example of this is when i was young and hurt my leg badly. i had fallen off the swings and and landed totally wrong. my first instinct was to go immediate,9,3.2,i felt like it was the right decision. i had a good chance of getting the most with .30,0,0,72,na,4cfa2db4-7591-11e2-89cc-88532e617cea,1,0,0
,,157,25,1,10,40,3,232,4/26/12 22:48,4/26/12 22:42,3,5,1,6.7,0,7,1770,8,0,68.232.119.13,8,7.3,1,0,0,na,3,1,0,"when i was deciding what major to pick for school, i used my own thought process to narrow it down.  i knew i wanted to stay with business and in the college of business.  i also loved math and statistics.  therefore i looked for a major that p",9,3.4,don't believe,0,0,36,na,4cfaf9ec-7591-11e2-89cc-88532e617cea,1,40,40
,,158,24,9,10,40,1,203,4/24/12 12:39,4/24/12 11:55,198,4,0,5.7,0,6,747,3,2,196.2.126.176,8,6.9,1,0,0,na,4,1,0,i was looking for a way to make some spending money on line. one of my friends gave me a couple of websites names that he was registered to and recommended me to partake in the surveys seeing as he said that they were a gold mine and easy to do,7,2.9,main reason for my contribution was the the feeling i got that me and the other 3 participants were working together as a team and i had to do my part. i had a feeling that they were contributing for the greater good of the rest of the team and,0,0,104,na,4cfb1634-7591-11e2-89cc-88532e617cea,0,40,0
,,159,26,10,10,0,2,129,4/27/12 22:51,4/27/12 22:24,14,5,0,4.2,0,3,2013,1,1,77.29.210.185,10,8.799999,0,0,0,na,3,1,0,i was offered a job to go abroad to sell books. the program required for me to take a trainee course. i took the course and gathered all the necessary documents. all that left was for me to deliver them in order to get the job. for no reason i,10,2.1,because i want to take a risk.,0,0,165,na,4cfb3dd0-7591-11e2-89cc-88532e617cea,0,40,0
,,160,24,9,10,30,0,173,4/26/12 5:09,4/26/12 4:52,8,4,1,7.3,1,7,1465,1,3,112.198.82.204,9,8.2,0.75,0,0,na,1,1,0,i was about to go this chinese store in our city.but i was hesitant and i can really feel that something is stopping me. i already changed my clothes and ready to leave. i was supposed to go to that store with my sister. i was waiting for her w,9,3.7,there were many times in my life when i ask for his guidance and i was answered.,0,0,77,na,4cfb5fcc-7591-11e2-89cc-88532e617cea,0,40,40
,,162,18,2,10,40,3,232,4/26/12 4:53,4/26/12 4:40,29,2,0,5.8,0,6,1462,1,0,72.235.223.107,8,5.8,1,0,0,na,1,1,0,"i was going to a party that a lot of my friends were going to.  we were under aged and had drinks and marijuana.  i decided to leave the party early, because things were getting out of hand.  a lot of my friends decided to stay for the rest of",8,3.5,i felt everyone else would go for the .80 cents too.,0,0,72,na,4cfba7d4-7591-11e2-89cc-88532e617cea,1,40,0
,,163,21,8,10,40,0,233,4/25/12 18:24,4/25/12 18:11,8,4,0,8,0,5,1241,2,3,76.176.137.134,9,7.7,1,0,0,na,1,1,0,a very significant instance in which my first instinct resulted in a good outcome happened a few years ago. i was looking for my first job so i went down to the mall to apply for a job. right when i walked in there was a shoe store straight ahe,11,3.6,it seemed to be the best way to earn extra money.,0,0,66,na,4cfbca2a-7591-11e2-89cc-88532e617cea,0,40,0
,,164,20,1,10,40,1,232,4/26/12 13:27,4/26/12 13:11,6,4,1,8.4,0,6,1579,2,1,76.22.119.166,8,5.2,1,0,0,na,1,1,0,"when i was in thailand around a year ago a motorbike almost crashed into me. the person then got off the bike and confronted to me. at first, it seemed like he wanted to fight. i remained calm when we was yelling and me and apologized. he then",5,2.8,"i like to benefit others, as well as myself.",0,0,66,na,4cfbe942-7591-11e2-89cc-88532e617cea,1,40,40
,,165,32,8,10,0,0,232,4/24/12 11:42,4/24/12 11:31,5,4,1,5.9,0,6,740,6,2,67.162.198.171,9,6.9,0,0,0,na,2,1,0,"while playing poker i always uses my intuition. it proves to be my best strategy. once while playing texas holdem, i had a strong feeling that i was going to draw a much needed queen to complete my three of a kind. my turn come around and to my",8,3.1,"by betting the least amount, i have the least risk of losing my money.",0,0,79,na,4cfc08fa-7591-11e2-89cc-88532e617cea,1,40,2
