term_id,term
0,act
1,action
2,actual
3,admit
4,advantag
5,afraid
6,again
7,agnost
8,ago
9,ahead
10,allah
11,allot
12,allow
13,alreadi
14,although
15,altruist
16,alwai
17,amount
18,anoth
19,answer
20,anyon
21,anyth
22,anywai
23,approach
24,around
25,ask
26,assum
27,aswel
28,atheist
29,attempt
30,attend
31,avers
32,awai
33,awar
34,back
35,balanc
36,base
37,basi
38,basic
39,be
40,beauti
41,befor
42,begin
43,behind
44,belief
45,believ
46,below
47,benefici
48,benefit
49,best
50,bet
51,better
52,between
53,bibl
54,big
55,bit
56,bonu
57,born
58,both
59,brainer
60,brought
61,calcul
62,call
63,cant
64,care
65,carri
66,case
67,caus
68,cautiou
69,cent
70,certain
71,chanc
72,chang
73,child
74,chip
75,choic
76,choos
77,chose
78,chosen
79,christian
80,chunk
81,church
82,collabor
83,collater
84,colleag
85,come
86,commun
87,compens
88,complet
89,concept
90,consid
91,consider
92,contibut
93,contribut
94,convert
95,cooper
96,count
97,cour
98,critic
99,daili
100,deal
101,decent
102,decid
103,decis
104,decison
105,deep
106,depend
107,descript
108,deserv
109,despit
110,didn
111,didnt
112,differ
113,distrust
114,do
115,dollar
116,donat
117,done
118,dont
119,doubl
120,doubt
121,down
122,due
123,dynam
124,each
125,earn
126,earth
127,easier
128,effect
129,empti
130,end
131,enjoi
132,ensur
133,enter
134,entir
135,eof
136,equal
137,equiti
138,etern
139,even
140,everybodi
141,everydai
142,everyon
143,everyth
144,exercis
145,exist
146,expect
147,experi
148,explain
149,explan
150,extra
151,fact
152,factor
153,fair
154,fairli
155,faith
156,famili
157,favor
158,feel
159,fell
160,fellow
161,felt
162,few
163,figur
164,find
165,focus
166,follow
167,forti
168,found
169,full
170,fulli
171,further
172,gain
173,gambl
174,gave
175,gener
176,get
177,give
178,given
179,go
180,god
181,good
182,grasp
183,greater
184,greatest
185,greedi
186,ground
187,group
188,guarante
189,guess
190,gui
191,guidanc
192,guilt
193,guilti
194,gut
195,gutt
196,half
197,hand
198,happen
199,happi
200,hard
201,heart
202,hedg
203,held
204,help
205,henc
206,hidden
207,high
208,highest
209,hoard
210,honestli
211,hope
212,hopefulli
213,human
214,hunch
215,hurt
216,i.
217,ie
218,im
219,import
220,includ
221,incom
222,increas
223,independ
224,inher
225,instinct
226,instruct
227,insur
228,intellig
229,intens
230,interact
231,interest
232,intuit
233,involv
234,jesu
235,karma
236,keep
237,kept
238,knew
239,know
240,knowingli
241,known
242,lack
243,larger
244,leas
245,leav
246,left
247,less
248,life
249,likelihood
250,likelii
251,line
252,littl
253,live
254,logic
255,long
256,look
257,loos
258,lose
259,lost
260,lot
261,love
262,low
263,lowest
264,made
265,main
266,maintain
267,make
268,mani
269,math
270,matter
271,maxim
272,maximum
273,mean
274,middl
275,mind
276,mine
277,monei
278,mood
279,moral
280,more
281,motiv
282,mount
283,move
284,mturk
285,much
286,mud
287,myself
288,natur
289,need
290,neglig
291,net
292,never
293,new
294,nice
295,nicest
296,nobodi
297,normal
298,noth
299,number
300,obtain
301,odd
302,on
303,optimist
304,option
305,order
306,origin
307,other
308,out
309,outcom
310,over
311,overal
312,page
313,pai
314,paid
315,part
316,parti
317,particip
318,participat
319,particular
320,partner
321,past
322,payoff
323,payout
324,peer
325,penal
326,peopl
327,person
328,pick
329,plai
330,player
331,plu
332,polit
333,pool
334,portion
335,posit
336,possibl
337,pot
338,potenti
339,power
340,prayer
341,prefer
342,primarili
343,proba
344,probabl
345,problem
346,produc
347,profit
348,provid
349,punish
350,put
351,quantiti
352,question
353,quick
354,ration
355,reach
356,read
357,real
358,realiz
359,realli
360,reason
361,receiv
362,recogn
363,reli
364,religi
365,religion
366,remain
367,rememb
368,resourc
369,respond
370,respons
371,rest
372,result
373,retu
374,return
375,right
376,risk
377,riski
378,rule
379,run
380,sacrif
381,safe
382,same
383,save
384,saw
385,scenario
386,see
387,seem
388,self
389,selfish
390,selfless
391,sens
392,servic
393,set
394,sever
395,share
396,short
397,shot
398,shy
399,signific
400,similar
401,simpli
402,situat
403,slider
404,slightli
405,smallest
406,somehow
407,someon
408,someth
409,sometim
410,sort
411,sorta
412,soul
413,sound
414,spend
415,spiritu
416,split
417,start
418,state
419,stick
420,stickup
421,still
422,stimul
423,stingi
424,stranger
425,strateg
426,strict
427,strong
428,studi
429,sum
430,sure
431,survei
432,swai
433,take
434,taken
435,team
436,team.i
437,teamwork
438,temptat
439,that'd
440,themselv
441,therefor
442,thing
443,think
444,though
445,thought
446,three
447,through
448,thu
449,time
450,tini
451,todai
452,togeth
453,took
454,tri
455,trust
456,try
457,turker
458,two
459,unabashedli
460,understand
461,unfair
462,unpredict
463,up
464,upon
465,us
466,user
467,usual
468,utilitarian
469,valu
470,veri
471,versu
472,verybodi
473,virtual
474,wai
475,walk
476,want
477,wasn't
478,wasnt
479,well
480,went
481,whether
482,whilst
483,whole
484,will
485,win
486,without
487,wont
488,work
489,world
490,worri
491,worst
492,year
493,zero
